Time,Success,Length,Machine Hostname,Machine Process Id,Machine Thread Id,Query Finish Time,Query Index,Query Start Time,Query Timeout Trial,Query Trial,Request Group Name,Request Num Planning Attempts,Request Planner Id,Request Planner Type,Robowflex Planner Name,Robowflex Robot Name
10.41,1.0,7.964026178447198,furkand,1098942.0,140544323462912.0,10.410182,0.0,0.000161,0.0,1.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
127.993,1.0,13.317866322077089,furkand,1098942.0,140544323462912.0,138.403171,0.0,10.410392,0.0,6.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
167.39,1.0,12.604546047039651,furkand,1098942.0,140544331855616.0,167.389989,0.0,0.000174,0.0,0.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
60.2691,1.0,11.442198267512529,furkand,1098942.0,140544323462912.0,198.673147,0.0,138.404051,0.0,7.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
200.279,0.0,0.0,furkand,1098942.0,140544315070208.0,200.278951,0.0,0.000191,0.0,2.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
200.289,0.0,0.0,furkand,1098942.0,140544298284800.0,200.289086,0.0,0.000256,0.0,4.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
2.42161,1.0,14.835475029730699,furkand,1098942.0,140544323462912.0,201.095007,0.0,198.673397,0.0,9.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
200.123,0.0,0.0,furkand,1098942.0,140544306677504.0,208.956419,0.0,8.833208,0.0,5.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
51.4342,1.0,10.940281541753484,furkand,1098942.0,140544331855616.0,218.824376,0.0,167.390216,0.0,8.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
44.7651,0.0,0.0,furkand,1098942.0,140544331855616.0,263.590192,0.0,218.825081,0.0,14.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
2.34766,1.0,12.030428224053821,furkand,1098942.0,140544331855616.0,265.93804,0.0,263.590383,0.0,15.0,panda_arm,1.0,RRTGoalRegionkConfigDefault,robowflex::OMPL::FrankaOMPLPipelinePlanner,,panda
